ID,type,start_time,end_time,time_of_warning,wind_speed,rainfall,flood_depth,magnitude,cause
H-2000450,hurricane,"1994-11-18T05:25:07","1994-11-18T22:25:07","1994-11-12T12:50:41",113,12,32,3,null
H-2000451,hurricane,"1996-01-27T21:34:43","1996-01-28T13:34:43","1996-01-23T03:13:21",118,14,36,3,null
H-2000452,hurricane,"2013-06-28T07:22:28","2013-06-28T20:22:28","2013-06-23T06:19:15",95,10,24,1,null
H-2000453,hurricane,"1950-06-29T12:49:06","1950-06-30T04:49:06","1950-06-18T17:18:51",105,7,24,2,null
H-2000454,hurricane,"1880-05-30T15:31:50","1880-05-31T09:31:50","1880-05-24T20:30:51",153,28,116,4,null
H-2000455,hurricane,"1968-09-01T20:50:05","1968-09-02T11:50:05","1968-08-27T11:25:50",95,10,10,1,null
H-2000456,hurricane,"1932-02-22T12:19:57","1932-02-23T02:19:57","1932-02-12T14:46:04",104,10,13,2,null
H-2000457,hurricane,"2004-03-25T06:06:12","2004-03-25T22:06:12","2004-03-20T21:51:54",109,9,2,2,null
H-2000458,hurricane,"1912-01-06T21:00:36","1912-01-07T12:00:36","1911-12-31T21:22:53",109,10,11,2,null
H-2000459,hurricane,"1946-09-25T08:52:02","1946-09-25T22:52:02","1946-09-17T05:00:38",96,11,17,2,null
H-2000460,hurricane,"1964-01-16T06:12:26","1964-01-16T18:12:26","1964-01-05T18:57:57",79,10,20,1,null
H-2000461,hurricane,"1979-09-03T13:00:35","1979-09-04T07:00:35","1979-08-27T12:19:04",145,25,85,4,null
H-2000462,hurricane,"1918-11-23T01:50:33","1918-11-23T23:50:33","1918-11-16T15:23:24",182,46,207,5,null
H-2000463,hurricane,"1983-05-17T02:37:32","1983-05-17T19:37:32","1983-05-13T00:58:15",113,16,40,3,null
H-2000464,hurricane,"1979-08-21T16:08:59","1979-08-22T14:08:59","1979-08-11T06:25:36",178,32,144,5,null
H-2000465,hurricane,"1966-02-06T15:43:36","1966-02-07T08:43:36","1966-02-02T01:26:13",113,15,30,3,null
H-2000466,hurricane,"1930-02-22T04:47:21","1930-02-22T19:47:21","1930-02-17T00:33:36",96,7,12,2,null
H-2000467,hurricane,"1930-12-19T02:24:48","1930-12-19T21:24:48","1930-12-14T15:25:01",113,13,22,3,null
H-2000468,hurricane,"1871-04-30T06:17:33","1871-05-01T02:17:33","1871-04-19T17:24:46",152,32,112,4,null
H-2000469,hurricane,"1976-01-03T03:03:26","1976-01-03T21:03:26","1975-12-23T20:20:35",149,24,48,4,null
H-2000470,hurricane,"1894-01-03T06:14:27","1894-01-03T20:14:27","1893-12-23T07:08",76,8,7,1,null
H-2000471,hurricane,"1953-01-22T00:51:55","1953-01-22T20:51:55","1953-01-12T18:57:44",180,50,190,5,null
H-2000472,hurricane,"2019-09-03T08:45:13","2019-09-03T22:45:13","2019-08-29T14:12:33",109,11,20,2,null
H-2000473,hurricane,"1986-04-03T14:30:04","1986-04-04T06:30:04","1986-03-24T21:41:49",105,9,11,2,null
H-2000474,hurricane,"1959-06-05T01:49:09","1959-06-05T13:49:09","1959-05-25T07:27:24",82,6,16,1,null
H-2000475,hurricane,"1982-12-02T22:47:57","1982-12-03T14:47:57","1982-11-23T18:57:14",117,12,24,3,null
H-2000476,hurricane,"1885-11-21T14:38:48","1885-11-22T03:38:48","1885-11-15T15:48:11",82,8,14,1,null
H-2000477,hurricane,"1986-01-12T22:19:49","1986-01-13T12:19:49","1986-01-08T19:21:49",99,10,0,2,null
H-2000478,hurricane,"1917-10-12T09:03:05","1917-10-12T21:03:05","1917-10-08T00:16:02",91,9,8,1,null
H-2000479,hurricane,"2002-05-07T17:56:37","2002-05-08T12:56:37","2002-04-30T05:22:29",142,34,117,4,null
H-2000480,hurricane,"1923-11-20T13:06:11","1923-11-21T01:06:11","1923-11-12T17:11:26",91,5,19,1,null
H-2000481,hurricane,"1919-09-24T07:38:26","1919-09-25T05:38:26","1919-09-18T23:21:39",180,58,220,5,null
H-2000482,hurricane,"1881-06-28T22:02:47","1881-06-29T10:02:47","1881-06-19T11:39:39",78,6,14,1,null
H-2000483,hurricane,"1964-09-12T13:23:45","1964-09-13T08:23:45","1964-09-03T11:29:46",118,9,24,3,null
H-2000484,hurricane,"1885-11-19T01:07:24","1885-11-19T20:07:24","1885-11-11T13:23:09",111,12,22,3,null
H-2000485,hurricane,"1889-09-05T09:23:04","1889-09-06T01:23:04","1889-08-27T13:49:10",120,14,17,3,null
H-2000486,hurricane,"1992-01-10T00:16:09","1992-01-10T14:16:09","1992-01-02T14:51:05",106,10,5,2,null
H-2000487,hurricane,"1992-02-26T23:03:36","1992-02-27T17:03:36","1992-02-18T08:50:01",117,10,6,3,null
H-2000488,hurricane,"1865-09-05T03:39:27","1865-09-05T17:39:27","1865-08-31T15:59:34",83,7,7,1,null
H-2000489,hurricane,"2011-04-01T07:22:13","2011-04-02T04:22:13","2011-03-22T12:10:54",185,28,119,5,null
H-2000490,hurricane,"1937-03-31T01:53:12","1937-03-31T21:53:12","1937-03-26T02:47:05",164,39,158,5,null
H-2000491,hurricane,"1866-01-26T08:51:36","1866-01-27T04:51:36","1866-01-20T16:57:58",136,32,128,4,null
H-2000492,hurricane,"1932-06-17T13:39:27","1932-06-18T08:39:27","1932-06-08T21:01:58",144,32,125,4,null
H-2000493,hurricane,"1886-07-20T18:22:45","1886-07-21T06:22:45","1886-07-12T14:08:59",77,5,1,1,null
H-2000494,hurricane,"2008-04-03T08:52:19","2008-04-04T05:52:19","2008-03-23T22:45:34",179,46,209,5,null
H-2000495,hurricane,"2003-11-21T21:49:03","2003-11-22T19:49:03","2003-11-13T18:18:34",161,49,195,5,null
H-2000496,hurricane,"1965-09-17T09:38:06","1965-09-18T08:38:06","1965-09-12T15:25:05",159,44,154,5,null
H-2000497,hurricane,"2000-02-21T20:41:29","2000-02-22T12:41:29","2000-02-13T03:51:48",117,10,0,3,null
H-2000498,hurricane,"1961-09-05T12:06:59","1961-09-06T03:06:59","1961-08-25T20:15:41",82,6,6,1,null
H-2000499,hurricane,"2018-06-21T16:42:46","2018-06-22T12:42:46","2018-06-12T11:28:43",143,32,115,4,null
PC-3000000,plane_crash,"1987-02-25T00:15:38",null,null,null,null,null,null,Unforeseeable accident
PC-3000001,plane_crash,"1998-10-02T02:52:14",null,null,null,null,null,null,Humnan negligence
PC-3000002,plane_crash,"1978-04-29T20:36:45",null,null,null,null,null,null,Mechanical failure
PC-3000003,plane_crash,"2015-05-15T14:24:43",null,null,null,null,null,null,Unforeseeable accident
PC-3000004,plane_crash,"1972-01-24T03:05:09",null,null,null,null,null,null,Mechanical failure
PC-3000005,plane_crash,"1980-03-17T02:24:18",null,null,null,null,null,null,Unforeseeable accident
PC-3000006,plane_crash,"2016-09-19T05:49:19",null,null,null,null,null,null,Mechanical failure
PC-3000007,plane_crash,"1982-07-30T03:43:40",null,null,null,null,null,null,Unforeseeable accident
PC-3000008,plane_crash,"1963-08-19T18:06:35",null,null,null,null,null,null,Mechanical failure
PC-3000009,plane_crash,"1989-01-26T01:46:59",null,null,null,null,null,null,Unforeseeable accident
PC-3000010,plane_crash,"2012-02-05T09:37:22",null,null,null,null,null,null,Unforeseeable accident
PC-3000011,plane_crash,"1957-02-09T23:45:34",null,null,null,null,null,null,Mechanical failure
PC-3000012,plane_crash,"1976-12-20T10:30:21",null,null,null,null,null,null,Humnan negligence
PC-3000013,plane_crash,"1958-09-18T05:49:41",null,null,null,null,null,null,Mechanical failure
PC-3000014,plane_crash,"1962-04-29T01:28:56",null,null,null,null,null,null,Mechanical failure
PC-3000015,plane_crash,"2012-07-29T18:24:26",null,null,null,null,null,null,Humnan negligence
PC-3000016,plane_crash,"1999-09-17T22:19:25",null,null,null,null,null,null,Mechanical failure
PC-3000017,plane_crash,"1967-10-22T02:50:25",null,null,null,null,null,null,Mechanical failure
PC-3000018,plane_crash,"1978-07-14T19:52:21",null,null,null,null,null,null,Unforeseeable accident
PC-3000019,plane_crash,"2019-12-16T20:42:17",null,null,null,null,null,null,Unforeseeable accident
PC-3000020,plane_crash,"1951-02-27T14:53:14",null,null,null,null,null,null,Mechanical failure
PC-3000021,plane_crash,"1952-08-28T04:43:50",null,null,null,null,null,null,Mechanical failure
PC-3000022,plane_crash,"1966-02-03T14:13:08",null,null,null,null,null,null,Mechanical failure
PC-3000023,plane_crash,"1966-08-09T14:09:03",null,null,null,null,null,null,Mechanical failure
PC-3000024,plane_crash,"2014-09-26T04:28:53",null,null,null,null,null,null,Mechanical failure
PC-3000025,plane_crash,"1992-06-19T03:17:58",null,null,null,null,null,null,Humnan negligence
PC-3000026,plane_crash,"2012-10-04T02:37:52",null,null,null,null,null,null,Humnan negligence
PC-3000027,plane_crash,"1975-08-31T06:11:29",null,null,null,null,null,null,Unforeseeable accident
PC-3000028,plane_crash,"1951-06-27T06:47:47",null,null,null,null,null,null,Humnan negligence
PC-3000029,plane_crash,"2015-12-21T23:08:02",null,null,null,null,null,null,Unforeseeable accident
PC-3000030,plane_crash,"1985-06-07T10:04:14",null,null,null,null,null,null,Humnan negligence
PC-3000031,plane_crash,"2002-09-26T20:42:29",null,null,null,null,null,null,Mechanical failure
PC-3000032,plane_crash,"2015-03-29T12:26:11",null,null,null,null,null,null,Mechanical failure
PC-3000033,plane_crash,"1977-03-31T23:49:32",null,null,null,null,null,null,Unforeseeable accident
PC-3000034,plane_crash,"1983-02-15T02:28:13",null,null,null,null,null,null,Unforeseeable accident
PC-3000035,plane_crash,"2002-02-13T18:48:47",null,null,null,null,null,null,Mechanical failure
PC-3000036,plane_crash,"1965-02-26T07:12:42",null,null,null,null,null,null,Mechanical failure
PC-3000037,plane_crash,"1990-01-18T10:09:50",null,null,null,null,null,null,Mechanical failure
PC-3000038,plane_crash,"2017-09-01T22:41:54",null,null,null,null,null,null,Unforeseeable accident
PC-3000039,plane_crash,"1988-03-04T17:56:07",null,null,null,null,null,null,Mechanical failure
PC-3000040,plane_crash,"1964-12-24T02:37:42",null,null,null,null,null,null,Humnan negligence
PC-3000041,plane_crash,"1969-01-02T15:50:18",null,null,null,null,null,null,Unforeseeable accident
PC-3000042,plane_crash,"1978-08-04T07:23:58",null,null,null,null,null,null,Unforeseeable accident
PC-3000043,plane_crash,"2015-10-03T16:08:03",null,null,null,null,null,null,Unforeseeable accident
PC-3000044,plane_crash,"1976-03-12T09:25:11",null,null,null,null,null,null,Mechanical failure
PC-3000045,plane_crash,"1964-06-18T08:04:36",null,null,null,null,null,null,Humnan negligence
PC-3000046,plane_crash,"2014-05-01T16:23:16",null,null,null,null,null,null,Humnan negligence
PC-3000047,plane_crash,"1978-09-14T17:10:55",null,null,null,null,null,null,Unforeseeable accident
PC-3000048,plane_crash,"2019-12-18T03:42:59",null,null,null,null,null,null,Mechanical failure
PC-3000049,plane_crash,"1962-02-28T18:54:29",null,null,null,null,null,null,Mechanical failure
PC-3000050,plane_crash,"1964-01-02T14:18:06",null,null,null,null,null,null,Humnan negligence
PC-3000051,plane_crash,"1950-05-20T12:56:07",null,null,null,null,null,null,Unforeseeable accident
PC-3000052,plane_crash,"1971-02-10T13:50:20",null,null,null,null,null,null,Humnan negligence
PC-3000053,plane_crash,"1980-12-19T07:25:02",null,null,null,null,null,null,Mechanical failure
PC-3000054,plane_crash,"2000-06-17T00:32:30",null,null,null,null,null,null,Mechanical failure
PC-3000055,plane_crash,"2011-04-25T13:45:30",null,null,null,null,null,null,Unforeseeable accident
PC-3000056,plane_crash,"1974-05-04T17:18:23",null,null,null,null,null,null,Humnan negligence
PC-3000057,plane_crash,"1979-10-27T23:01:41",null,null,null,null,null,null,Humnan negligence
PC-3000058,plane_crash,"1958-12-10T04:33:05",null,null,null,null,null,null,Humnan negligence
PC-3000059,plane_crash,"1987-01-20T04:33:48",null,null,null,null,null,null,Unforeseeable accident
PC-3000060,plane_crash,"2017-04-12T05:12:42",null,null,null,null,null,null,Mechanical failure
PC-3000061,plane_crash,"2004-01-04T05:57:41",null,null,null,null,null,null,Mechanical failure
PC-3000062,plane_crash,"1968-01-23T05:53:33",null,null,null,null,null,null,Humnan negligence
PC-3000063,plane_crash,"1977-06-27T02:50:11",null,null,null,null,null,null,Mechanical failure
PC-3000064,plane_crash,"1973-12-21T02:41:46",null,null,null,null,null,null,Humnan negligence
PC-3000065,plane_crash,"1985-03-30T06:32:11",null,null,null,null,null,null,Humnan negligence
PC-3000066,plane_crash,"1997-10-06T03:35:05",null,null,null,null,null,null,Mechanical failure
PC-3000067,plane_crash,"2003-09-26T17:10:57",null,null,null,null,null,null,Mechanical failure
PC-3000068,plane_crash,"2003-04-13T19:17:02",null,null,null,null,null,null,Humnan negligence
PC-3000069,plane_crash,"1977-05-15T10:24:30",null,null,null,null,null,null,Humnan negligence
PC-3000070,plane_crash,"1988-12-20T01:09:31",null,null,null,null,null,null,Mechanical failure
PC-3000071,plane_crash,"2008-05-26T22:06:07",null,null,null,null,null,null,Humnan negligence
PC-3000072,plane_crash,"1953-01-05T00:08:41",null,null,null,null,null,null,Unforeseeable accident
PC-3000073,plane_crash,"1979-10-28T23:10:59",null,null,null,null,null,null,Humnan negligence
PC-3000074,plane_crash,"1956-07-24T01:14:23",null,null,null,null,null,null,Mechanical failure
PC-3000075,plane_crash,"2006-11-06T22:12:37",null,null,null,null,null,null,Humnan negligence
PC-3000076,plane_crash,"1960-10-18T17:37:01",null,null,null,null,null,null,Unforeseeable accident
PC-3000077,plane_crash,"2004-07-03T11:29:13",null,null,null,null,null,null,Humnan negligence
PC-3000078,plane_crash,"1956-06-30T23:01:08",null,null,null,null,null,null,Mechanical failure
PC-3000079,plane_crash,"1962-04-02T04:00:09",null,null,null,null,null,null,Mechanical failure
PC-3000080,plane_crash,"2005-03-15T20:01:19",null,null,null,null,null,null,Mechanical failure
PC-3000081,plane_crash,"1994-05-22T22:19:15",null,null,null,null,null,null,Unforeseeable accident
PC-3000082,plane_crash,"1952-01-23T00:21:58",null,null,null,null,null,null,Humnan negligence
PC-3000083,plane_crash,"1956-02-05T06:52:14",null,null,null,null,null,null,Humnan negligence
PC-3000084,plane_crash,"2013-10-09T08:23:26",null,null,null,null,null,null,Mechanical failure
PC-3000085,plane_crash,"1985-04-25T02:54:54",null,null,null,null,null,null,Humnan negligence
PC-3000086,plane_crash,"1977-06-25T12:09:18",null,null,null,null,null,null,Mechanical failure
PC-3000087,plane_crash,"1967-02-22T12:17:04",null,null,null,null,null,null,Mechanical failure
PC-3000088,plane_crash,"1994-09-22T07:09:02",null,null,null,null,null,null,Mechanical failure
PC-3000089,plane_crash,"2007-11-22T21:31:42",null,null,null,null,null,null,Humnan negligence
PC-3000090,plane_crash,"1960-05-06T03:10:21",null,null,null,null,null,null,Unforeseeable accident
PC-3000091,plane_crash,"1975-04-02T13:34:51",null,null,null,null,null,null,Mechanical failure
PC-3000092,plane_crash,"1980-09-07T05:11:30",null,null,null,null,null,null,Mechanical failure
PC-3000093,plane_crash,"1971-12-09T14:54:58",null,null,null,null,null,null,Humnan negligence
PC-3000094,plane_crash,"1985-01-11T17:37:58",null,null,null,null,null,null,Unforeseeable accident
PC-3000095,plane_crash,"1954-07-30T23:21:23",null,null,null,null,null,null,Unforeseeable accident
PC-3000096,plane_crash,"1962-06-19T15:23:13",null,null,null,null,null,null,Unforeseeable accident
PC-3000097,plane_crash,"1977-08-09T03:53:01",null,null,null,null,null,null,Mechanical failure
PC-3000098,plane_crash,"1955-12-11T23:55:51",null,null,null,null,null,null,Humnan negligence
PC-3000099,plane_crash,"1974-10-02T06:42:39",null,null,null,null,null,null,Mechanical failure
PC-3000100,plane_crash,"1966-09-07T04:18:56",null,null,null,null,null,null,Mechanical failure
PC-3000101,plane_crash,"1964-10-20T03:05",null,null,null,null,null,null,Humnan negligence
PC-3000102,plane_crash,"1990-03-21T16:19:03",null,null,null,null,null,null,Mechanical failure
PC-3000103,plane_crash,"1975-02-26T18:31:30",null,null,null,null,null,null,Unforeseeable accident
PC-3000104,plane_crash,"1981-03-11T07:30:57",null,null,null,null,null,null,Mechanical failure
PC-3000105,plane_crash,"1982-07-09T11:35:44",null,null,null,null,null,null,Unforeseeable accident
PC-3000106,plane_crash,"1950-12-03T14:25:52",null,null,null,null,null,null,Humnan negligence
PC-3000107,plane_crash,"1986-01-19T05:13:47",null,null,null,null,null,null,Unforeseeable accident
PC-3000108,plane_crash,"1973-02-23T01:21:43",null,null,null,null,null,null,Humnan negligence
PC-3000109,plane_crash,"1994-08-24T20:28:30",null,null,null,null,null,null,Humnan negligence
PC-3000110,plane_crash,"1969-06-21T08:22:01",null,null,null,null,null,null,Unforeseeable accident
PC-3000111,plane_crash,"2004-06-29T13:03:48",null,null,null,null,null,null,Unforeseeable accident
PC-3000112,plane_crash,"1994-01-06T22:15:38",null,null,null,null,null,null,Unforeseeable accident
PC-3000113,plane_crash,"2019-05-21T02:01:59",null,null,null,null,null,null,Humnan negligence
PC-3000114,plane_crash,"1966-09-03T00:24:18",null,null,null,null,null,null,Humnan negligence
PC-3000115,plane_crash,"2003-04-25T21:34:30",null,null,null,null,null,null,Unforeseeable accident
PC-3000116,plane_crash,"2019-06-07T17:17:34",null,null,null,null,null,null,Humnan negligence
PC-3000117,plane_crash,"1990-10-12T05:18:24",null,null,null,null,null,null,Mechanical failure
PC-3000118,plane_crash,"1955-12-05T23:18:42",null,null,null,null,null,null,Unforeseeable accident
PC-3000119,plane_crash,"1968-12-20T21:12:59",null,null,null,null,null,null,Humnan negligence
PC-3000120,plane_crash,"2006-03-02T07:49:53",null,null,null,null,null,null,Mechanical failure
PC-3000121,plane_crash,"1957-11-17T02:39:58",null,null,null,null,null,null,Humnan negligence
PC-3000122,plane_crash,"1990-09-24T10:02:24",null,null,null,null,null,null,Mechanical failure
PC-3000123,plane_crash,"2018-01-20T22:17:29",null,null,null,null,null,null,Mechanical failure
PC-3000124,plane_crash,"1993-11-12T22:09:47",null,null,null,null,null,null,Humnan negligence
PC-3000125,plane_crash,"2009-05-18T02:05:11",null,null,null,null,null,null,Mechanical failure
PC-3000126,plane_crash,"2007-03-27T19:26:30",null,null,null,null,null,null,Mechanical failure
PC-3000127,plane_crash,"2013-06-11T17:06:21",null,null,null,null,null,null,Humnan negligence
PC-3000128,plane_crash,"2007-07-06T03:14:13",null,null,null,null,null,null,Mechanical failure
PC-3000129,plane_crash,"2001-08-30T01:39:02",null,null,null,null,null,null,Unforeseeable accident
PC-3000130,plane_crash,"2017-02-21T10:10:22",null,null,null,null,null,null,Unforeseeable accident
PC-3000131,plane_crash,"2018-03-31T01:04:40",null,null,null,null,null,null,Unforeseeable accident
PC-3000132,plane_crash,"1953-07-11T10:56:58",null,null,null,null,null,null,Humnan negligence
PC-3000133,plane_crash,"1964-01-17T00:06:11",null,null,null,null,null,null,Mechanical failure
PC-3000134,plane_crash,"2011-09-22T02:24:28",null,null,null,null,null,null,Mechanical failure
PC-3000135,plane_crash,"1959-04-11T03:36:52",null,null,null,null,null,null,Mechanical failure
PC-3000136,plane_crash,"2013-08-14T08:38:07",null,null,null,null,null,null,Unforeseeable accident
PC-3000137,plane_crash,"1966-08-03T18:45:34",null,null,null,null,null,null,Humnan negligence
PC-3000138,plane_crash,"1967-07-19T01:50:43",null,null,null,null,null,null,Unforeseeable accident
PC-3000139,plane_crash,"1980-04-14T12:19:13",null,null,null,null,null,null,Mechanical failure
PC-3000140,plane_crash,"2008-07-05T06:36:42",null,null,null,null,null,null,Humnan negligence
PC-3000141,plane_crash,"1991-01-16T09:37:35",null,null,null,null,null,null,Mechanical failure
PC-3000142,plane_crash,"1981-07-03T23:42:01",null,null,null,null,null,null,Mechanical failure
PC-3000143,plane_crash,"1964-12-18T10:57:20",null,null,null,null,null,null,Humnan negligence
PC-3000144,plane_crash,"2001-10-18T01:06:20",null,null,null,null,null,null,Unforeseeable accident
PC-3000145,plane_crash,"1979-11-13T00:42:44",null,null,null,null,null,null,Mechanical failure
PC-3000146,plane_crash,"1953-12-13T17:13:55",null,null,null,null,null,null,Mechanical failure
PC-3000147,plane_crash,"2000-05-22T11:09:49",null,null,null,null,null,null,Mechanical failure
PC-3000148,plane_crash,"1962-04-17T02:58:17",null,null,null,null,null,null,Mechanical failure
PC-3000149,plane_crash,"2016-08-23T20:26:20",null,null,null,null,null,null,Unforeseeable accident
PC-3000150,plane_crash,"1981-12-08T05:20:48",null,null,null,null,null,null,Humnan negligence
PC-3000151,plane_crash,"1983-04-27T01:18:37",null,null,null,null,null,null,Unforeseeable accident
PC-3000152,plane_crash,"1997-07-31T07:03:12",null,null,null,null,null,null,Unforeseeable accident
PC-3000153,plane_crash,"1967-05-27T06:04:18",null,null,null,null,null,null,Humnan negligence
PC-3000154,plane_crash,"2013-07-28T23:07:18",null,null,null,null,null,null,Humnan negligence
PC-3000155,plane_crash,"1995-04-06T11:52:48",null,null,null,null,null,null,Mechanical failure
PC-3000156,plane_crash,"1954-01-13T16:00:23",null,null,null,null,null,null,Humnan negligence
PC-3000157,plane_crash,"2009-01-11T15:17:32",null,null,null,null,null,null,Humnan negligence
PC-3000158,plane_crash,"1993-10-14T20:56:50",null,null,null,null,null,null,Humnan negligence
PC-3000159,plane_crash,"2018-03-13T21:59:40",null,null,null,null,null,null,Humnan negligence
PC-3000160,plane_crash,"1988-10-06T20:52:18",null,null,null,null,null,null,Humnan negligence
PC-3000161,plane_crash,"1959-10-15T05:26:52",null,null,null,null,null,null,Humnan negligence
PC-3000162,plane_crash,"1973-09-21T10:07:01",null,null,null,null,null,null,Unforeseeable accident
PC-3000163,plane_crash,"2006-01-15T04:51:28",null,null,null,null,null,null,Humnan negligence
PC-3000164,plane_crash,"2014-10-29T01:46:05",null,null,null,null,null,null,Humnan negligence
PC-3000165,plane_crash,"2001-03-17T09:02:16",null,null,null,null,null,null,Humnan negligence
PC-3000166,plane_crash,"2006-05-21T05:13:27",null,null,null,null,null,null,Unforeseeable accident
PC-3000167,plane_crash,"2002-05-16T12:00:35",null,null,null,null,null,null,Humnan negligence
PC-3000168,plane_crash,"1976-01-29T02:52:14",null,null,null,null,null,null,Humnan negligence
PC-3000169,plane_crash,"1950-03-11T10:12:30",null,null,null,null,null,null,Humnan negligence
PC-3000170,plane_crash,"1999-10-23T20:07:44",null,null,null,null,null,null,Mechanical failure
PC-3000171,plane_crash,"1951-11-01T09:48:58",null,null,null,null,null,null,Unforeseeable accident
PC-3000172,plane_crash,"1973-06-22T06:00:14",null,null,null,null,null,null,Mechanical failure
PC-3000173,plane_crash,"2006-07-26T14:21:23",null,null,null,null,null,null,Humnan negligence
PC-3000174,plane_crash,"1999-02-02T21:28:17",null,null,null,null,null,null,Mechanical failure
PC-3000175,plane_crash,"2008-02-09T14:01:04",null,null,null,null,null,null,Unforeseeable accident
PC-3000176,plane_crash,"2016-06-23T23:43:05",null,null,null,null,null,null,Unforeseeable accident
PC-3000177,plane_crash,"1954-09-27T11:44:40",null,null,null,null,null,null,Mechanical failure
PC-3000178,plane_crash,"1992-04-28T00:45:09",null,null,null,null,null,null,Humnan negligence
PC-3000179,plane_crash,"2018-09-18T08:51:10",null,null,null,null,null,null,Unforeseeable accident
PC-3000180,plane_crash,"1989-04-23T14:51:57",null,null,null,null,null,null,Unforeseeable accident
PC-3000181,plane_crash,"2008-09-14T16:29:03",null,null,null,null,null,null,Unforeseeable accident
PC-3000182,plane_crash,"2018-07-20T17:11:23",null,null,null,null,null,null,Mechanical failure
PC-3000183,plane_crash,"2005-01-25T13:51:47",null,null,null,null,null,null,Unforeseeable accident
PC-3000184,plane_crash,"1964-08-18T10:20:30",null,null,null,null,null,null,Unforeseeable accident
PC-3000185,plane_crash,"2002-06-20T11:42:50",null,null,null,null,null,null,Humnan negligence
PC-3000186,plane_crash,"1993-01-04T23:02:13",null,null,null,null,null,null,Mechanical failure
PC-3000187,plane_crash,"1993-06-10T00:27:05",null,null,null,null,null,null,Terrorism
PC-3000188,plane_crash,"1991-07-12T17:35:22",null,null,null,null,null,null,Mechanical failure
PC-3000189,plane_crash,"2019-05-24T06:26:45",null,null,null,null,null,null,Humnan negligence
PC-3000190,plane_crash,"1979-11-14T04:32:12",null,null,null,null,null,null,Unforeseeable accident
PC-3000191,plane_crash,"2016-12-07T21:15:28",null,null,null,null,null,null,Unforeseeable accident
PC-3000192,plane_crash,"1967-03-13T09:16:29",null,null,null,null,null,null,Unforeseeable accident
PC-3000193,plane_crash,"1982-04-08T17:52:08",null,null,null,null,null,null,Humnan negligence
PC-3000194,plane_crash,"1992-07-09T13:36:51",null,null,null,null,null,null,Humnan negligence
PC-3000195,plane_crash,"1996-09-13T03:24:25",null,null,null,null,null,null,Humnan negligence
PC-3000196,plane_crash,"2001-07-21T16:20:14",null,null,null,null,null,null,Mechanical failure
PC-3000197,plane_crash,"1981-05-29T15:07:33",null,null,null,null,null,null,Mechanical failure
PC-3000198,plane_crash,"1976-06-26T14:58:39",null,null,null,null,null,null,Mechanical failure
PC-3000199,plane_crash,"1960-02-21T03:15:51",null,null,null,null,null,null,Unforeseeable accident
PC-3000200,plane_crash,"1956-05-17T04:17:33",null,null,null,null,null,null,Unforeseeable accident
PC-3000201,plane_crash,"1958-12-03T01:48:34",null,null,null,null,null,null,Unforeseeable accident
PC-3000202,plane_crash,"1988-06-30T17:37:58",null,null,null,null,null,null,Mechanical failure
PC-3000203,plane_crash,"1971-09-02T16:34:47",null,null,null,null,null,null,Humnan negligence
PC-3000204,plane_crash,"1979-11-06T05:16:16",null,null,null,null,null,null,Mechanical failure
PC-3000205,plane_crash,"1959-09-03T14:27:40",null,null,null,null,null,null,Humnan negligence
PC-3000206,plane_crash,"1985-06-27T20:57:51",null,null,null,null,null,null,Unforeseeable accident
PC-3000207,plane_crash,"2001-04-15T20:30:23",null,null,null,null,null,null,Mechanical failure
PC-3000208,plane_crash,"1996-04-30T14:53:45",null,null,null,null,null,null,Unforeseeable accident
PC-3000209,plane_crash,"2014-01-19T13:47:48",null,null,null,null,null,null,Mechanical failure
PC-3000210,plane_crash,"1979-01-28T00:33:22",null,null,null,null,null,null,Humnan negligence
PC-3000211,plane_crash,"1995-05-16T15:16:42",null,null,null,null,null,null,Mechanical failure
PC-3000212,plane_crash,"2011-05-17T16:35:28",null,null,null,null,null,null,Mechanical failure
PC-3000213,plane_crash,"1967-10-14T11:54:32",null,null,null,null,null,null,Unforeseeable accident
PC-3000214,plane_crash,"1988-07-21T12:08:30",null,null,null,null,null,null,Unforeseeable accident
PC-3000215,plane_crash,"1978-06-25T11:00:24",null,null,null,null,null,null,Mechanical failure
PC-3000216,plane_crash,"1989-09-10T15:20:34",null,null,null,null,null,null,Terrorism
PC-3000217,plane_crash,"1951-03-09T17:37:38",null,null,null,null,null,null,Humnan negligence
PC-3000218,plane_crash,"1973-04-15T09:15:28",null,null,null,null,null,null,Mechanical failure
PC-3000219,plane_crash,"1962-05-08T07:15:25",null,null,null,null,null,null,Mechanical failure
PC-3000220,plane_crash,"1952-01-03T16:56:27",null,null,null,null,null,null,Humnan negligence
PC-3000221,plane_crash,"1966-03-30T01:04:50",null,null,null,null,null,null,Humnan negligence
PC-3000222,plane_crash,"2000-12-08T00:56:12",null,null,null,null,null,null,Humnan negligence
PC-3000223,plane_crash,"1963-08-15T22:36:50",null,null,null,null,null,null,Unforeseeable accident
PC-3000224,plane_crash,"2019-05-24T21:12:42",null,null,null,null,null,null,Unforeseeable accident
PC-3000225,plane_crash,"1989-03-04T10:04:30",null,null,null,null,null,null,Unforeseeable accident
PC-3000226,plane_crash,"1965-09-21T19:07:38",null,null,null,null,null,null,Humnan negligence
PC-3000227,plane_crash,"2005-12-08T14:20:24",null,null,null,null,null,null,Unforeseeable accident
PC-3000228,plane_crash,"2019-07-01T23:48:48",null,null,null,null,null,null,Humnan negligence
