city,state,population_size
Danshui,China,126701
Macheng,China,126366
Huicheng,China,125919
Xiazhen,China,125667
Haimen,China,125427
Shahecheng,China,125132
Suining,China,124924
Yushu,China,124736
Lecheng,China,124268
Laiwu,China,124108
Jiupu,China,123843
Baoshan,China,123791
Luoyang,China,123144
Minzhu,China,123018
Huangzhou,China,122563
Xiulin,China,122411
Zhoucun,China,122402
Jiayuguan,China,122396
Lianhe,China,121367
Xilin Hot,China,120965
Fengcheng,China,120514
Zhaoyuan,China,120000
Lhasa,China,118721
Puning,China,118023
Shunyi,China,117623
Longjing,China,117185
Qingzhou,China,117056
Dasha,China,116307
Yakeshi,China,116284
Binzhou,China,115893
Lengshuijiang,China,115399
Tianfu,China,115370
Wenchang,China,115000
Mingshui,China,114858
Yuyao,China,114177
Hotan,China,114000
Pingshan,China,113631
Songyuan,China,113611
Maba,China,113609
Guangming,China,112819
Haikou,China,112644
Shaowu,China,112585
Kaiyuan,China,112462
Beibei,China,112019
Dongtai,China,110988
Encheng,China,110921
Zhuji,China,110721
Qingnian,China,110046
Mizhou,China,109968
Linshui,China,109955
Hailun,China,109881
Shilong,China,109733
Tieli,China,109636
Dongxing,China,109561
New York - New York,United States,8405837
Los Angeles - California,United States,3884307
Chicago - Illinois,United States,2718782
Houston - Texas,United States,2195914
Philadelphia - Pennsylvania,United States,1553165
Phoenix - Arizona,United States,1513367
San Antonio - Texas,United States,1409019
San Diego - California,United States,1355896
Dallas - Texas,United States,1257676
San Jose - California,United States,998537
Austin - Texas,United States,885400
Indianapolis - Indiana,United States,843393
Jacksonville - Florida,United States,842583
San Francisco - California,United States,837442
Columbus - Ohio,United States,822553
Charlotte - North Carolina,United States,792862
Fort Worth - Texas,United States,792727
Detroit - Michigan,United States,688701
El Paso - Texas,United States,674433
Memphis - Tennessee,United States,653450
Seattle - Washington,United States,652405
Denver - Colorado,United States,649495
Washington - District of Columbia,United States,646449
Boston - Massachusetts,United States,645966
Nashville-Davidson - Tennessee,United States,634464
Baltimore - Maryland,United States,622104
Oklahoma City - Oklahoma,United States,610613
Louisville/Jefferson County - Kentucky,United States,609893
Portland - Oregon,United States,609456
Las Vegas - Nevada,United States,603488
Milwaukee - Wisconsin,United States,599164
Albuquerque - New Mexico,United States,556495
Tucson - Arizona,United States,526116
Fresno - California,United States,509924
Sacramento - California,United States,479686
Long Beach - California,United States,469428
Kansas City - Missouri,United States,467007
Mesa - Arizona,United States,457587
Virginia Beach - Virginia,United States,448479
Atlanta - Georgia,United States,447841
Colorado Springs - Colorado,United States,439886
Omaha - Nebraska,United States,434353
Raleigh - North Carolina,United States,431746
Miami - Florida,United States,417650
Oakland - California,United States,406253
Minneapolis - Minnesota,United States,400070
Tulsa - Oklahoma,United States,398121
Cleveland - Ohio,United States,390113
Wichita - Kansas,United States,386552
Arlington - Texas,United States,379577
New Orleans - Louisiana,United States,378715
Bakersfield - California,United States,363630
Tampa - Florida,United States,352957
Honolulu - Hawaii,United States,347884
Aurora - Colorado,United States,345803
Anaheim - California,United States,345012
Santa Ana - California,United States,334227
St. Louis - Missouri,United States,318416
Riverside - California,United States,316619
Corpus Christi - Texas,United States,316381
Lexington-Fayette - Kentucky,United States,308428
Pittsburgh - Pennsylvania,United States,305841
Anchorage - Alaska,United States,300950
Stockton - California,United States,298118
Cincinnati - Ohio,United States,297517
St. Paul - Minnesota,United States,294873
Toledo - Ohio,United States,282313
Greensboro - North Carolina,United States,279639
Newark - New Jersey,United States,278427
Plano - Texas,United States,274409
Henderson - Nevada,United States,270811
Lincoln - Nebraska,United States,268738
Buffalo - New York,United States,258959
Jersey City - New Jersey,United States,257342
Chula Vista - California,United States,256780
Fort Wayne - Indiana,United States,256496
Orlando - Florida,United States,255483
St. Petersburg - Florida,United States,249688
Chandler - Arizona,United States,249146
Laredo - Texas,United States,248142
Norfolk - Virginia,United States,246139
Durham - North Carolina,United States,245475
Madison - Wisconsin,United States,243344
Lubbock - Texas,United States,239538
Irvine - California,United States,236716
Winston-Salem - North Carolina,United States,236441
Glendale - Arizona,United States,234632
Garland - Texas,United States,234566
Hialeah - Florida,United States,233394
Reno - Nevada,United States,233294
Chesapeake - Virginia,United States,230571
Gilbert - Arizona,United States,229972
Baton Rouge - Louisiana,United States,229426
Irving - Texas,United States,228653
Scottsdale - Arizona,United States,226918
North Las Vegas - Nevada,United States,226877
Fremont - California,United States,224922
Boise City - Idaho,United States,214237
Richmond - Virginia,United States,214114
San Bernardino - California,United States,213708
Birmingham - Alabama,United States,212113
Spokane - Washington,United States,210721
Rochester - New York,United States,210358
Des Moines - Iowa,United States,207510
Modesto - California,United States,204933
Fayetteville - North Carolina,United States,204408
Tacoma - Washington,United States,203446
Oxnard - California,United States,203007
Fontana - California,United States,203003
Columbus - Georgia,United States,202824
Montgomery - Alabama,United States,201332
Moreno Valley - California,United States,201175
Shreveport - Louisiana,United States,200327
Aurora - Illinois,United States,199963
Yonkers - New York,United States,199766
Akron - Ohio,United States,198100
Huntington Beach - California,United States,197575
Little Rock - Arkansas,United States,197357
Augusta-Richmond County - Georgia,United States,197350
Amarillo - Texas,United States,196429
Glendale - California,United States,196021
Mobile - Alabama,United States,194899
Grand Rapids - Michigan,United States,192294
Salt Lake City - Utah,United States,191180
Tallahassee - Florida,United States,186411
Huntsville - Alabama,United States,186254
Grand Prairie - Texas,United States,183372
Knoxville - Tennessee,United States,183270
Worcester - Massachusetts,United States,182544
Newport News - Virginia,United States,182020
Brownsville - Texas,United States,181860
Overland Park - Kansas,United States,181260
Santa Clarita - California,United States,179590
Providence - Rhode Island,United States,177994
Garden Grove - California,United States,175140
Chattanooga - Tennessee,United States,173366
Oceanside - California,United States,172794
Jackson - Mississippi,United States,172638
Fort Lauderdale - Florida,United States,172389
Santa Rosa - California,United States,171990
Rancho Cucamonga - California,United States,171386
Port St. Lucie - Florida,United States,171016
Tempe - Arizona,United States,168228
Ontario - California,United States,167500
Vancouver - Washington,United States,167405
Cape Coral - Florida,United States,165831
Sioux Falls - South Dakota,United States,164676
Springfield - Missouri,United States,164122
Peoria - Arizona,United States,162592
Pembroke Pines - Florida,United States,162329
Elk Grove - California,United States,161007
Salem - Oregon,United States,160614
Lancaster - California,United States,159523
Corona - California,United States,159503
Eugene - Oregon,United States,159190
Palmdale - California,United States,157161
Salinas - California,United States,155662
Springfield - Massachusetts,United States,153703
Pasadena - Texas,United States,152735
Fort Collins - Colorado,United States,152061
Hayward - California,United States,151574
Pomona - California,United States,151348
Cary - North Carolina,United States,151088
Rockford - Illinois,United States,150251
Alexandria - Virginia,United States,148892
Escondido - California,United States,148738
McKinney - Texas,United States,148559
Kansas City - Kansas,United States,148483
Joliet - Illinois,United States,147806
Sunnyvale - California,United States,147559
Torrance - California,United States,147478
Bridgeport - Connecticut,United States,147216
Lakewood - Colorado,United States,147214
Hollywood - Florida,United States,146526
Paterson - New Jersey,United States,145948
Naperville - Illinois,United States,144864
Syracuse - New York,United States,144669
Mesquite - Texas,United States,143484
Dayton - Ohio,United States,143355
Savannah - Georgia,United States,142772
Clarksville - Tennessee,United States,142357
Orange - California,United States,139969
Pasadena - California,United States,139731
Fullerton - California,United States,138981
Killeen - Texas,United States,137147
Frisco - Texas,United States,136791
Hampton - Virginia,United States,136699
McAllen - Texas,United States,136639
Warren - Michigan,United States,134873
Bellevue - Washington,United States,133992
West Valley City - Utah,United States,133579
Columbia - South Carolina,United States,133358
Olathe - Kansas,United States,131885
Sterling Heights - Michigan,United States,131224
New Haven - Connecticut,United States,130660
Miramar - Florida,United States,130288
Waco - Texas,United States,129030
Thousand Oaks - California,United States,128731
Cedar Rapids - Iowa,United States,128429
Charleston - South Carolina,United States,127999
Visalia - California,United States,127763
Topeka - Kansas,United States,127679
Elizabeth - New Jersey,United States,127558
Gainesville - Florida,United States,127488
Thornton - Colorado,United States,127359
Roseville - California,United States,127035
Carrollton - Texas,United States,126700
Coral Springs - Florida,United States,126604
Stamford - Connecticut,United States,126456
Simi Valley - California,United States,126181
Concord - California,United States,125880
Hartford - Connecticut,United States,125017
Kent - Washington,United States,124435
Lafayette - Louisiana,United States,124276
Midland - Texas,United States,123933
Surprise - Arizona,United States,123546
Denton - Texas,United States,123099
Victorville - California,United States,121096
Evansville - Indiana,United States,120310
Santa Clara - California,United States,120245
Abilene - Texas,United States,120099
Athens-Clarke County - Georgia,United States,119980
Vallejo - California,United States,118837
Allentown - Pennsylvania,United States,118577
Norman - Oklahoma,United States,118197
Beaumont - Texas,United States,117796
Independence - Missouri,United States,117240
Murfreesboro - Tennessee,United States,117044
Ann Arbor - Michigan,United States,117025
Springfield - Illinois,United States,117006
Berkeley - California,United States,116768
Peoria - Illinois,United States,116513
Provo - Utah,United States,116288
El Monte - California,United States,115708
Columbia - Missouri,United States,115276
Lansing - Michigan,United States,113972
Fargo - North Dakota,United States,113658
Downey - California,United States,113242
Costa Mesa - California,United States,112174
Wilmington - North Carolina,United States,112067
Arvada - Colorado,United States,111707
Inglewood - California,United States,111542
Miami Gardens - Florida,United States,111378
Carlsbad - California,United States,110972
Westminster - Colorado,United States,110945
Rochester - Minnesota,United States,110742
Odessa - Texas,United States,110720
Manchester - New Hampshire,United States,110378
Elgin - Illinois,United States,110145
West Jordan - Utah,United States,110077
Round Rock - Texas,United States,109821
Clearwater - Florida,United States,109703
Waterbury - Connecticut,United States,109676
Gresham - Oregon,United States,109397
Fairfield - California,United States,109320
Billings - Montana,United States,109059
Lowell - Massachusetts,United States,108861
San Buenaventura (Ventura) - California,United States,108817
Pueblo - Colorado,United States,108249
High Point - North Carolina,United States,107741
West Covina - California,United States,107740
Richmond - California,United States,107571
Murrieta - California,United States,107479
Cambridge - Massachusetts,United States,107289
Antioch - California,United States,107100
Temecula - California,United States,106780
Norwalk - California,United States,106589
Centennial - Colorado,United States,106114
Everett - Washington,United States,105370
Palm Bay - Florida,United States,104898
Wichita Falls - Texas,United States,104898
Green Bay - Wisconsin,United States,104779
Daly City - California,United States,104739
Burbank - California,United States,104709
Richardson - Texas,United States,104475
Pompano Beach - Florida,United States,104410
North Charleston - South Carolina,United States,104054
Broken Arrow - Oklahoma,United States,103500
Boulder - Colorado,United States,103166
West Palm Beach - Florida,United States,102436
Santa Maria - California,United States,102216
El Cajon - California,United States,102211
Davenport - Iowa,United States,102157
Rialto - California,United States,101910
Las Cruces - New Mexico,United States,101324
San Mateo - California,United States,101128
Lewisville - Texas,United States,101074
South Bend - Indiana,United States,100886
Lakeland - Florida,United States,100710
Erie - Pennsylvania,United States,100671
Tyler - Texas,United States,100223
Pearland - Texas,United States,100065
College Station - Texas,United States,100050
Kenosha - Wisconsin,United States,99889
Sandy Springs - Georgia,United States,99770
Clovis - California,United States,99769
Flint - Michigan,United States,99763
Roanoke - Virginia,United States,98465
Albany - New York,United States,98424
Jurupa Valley - California,United States,98030
Compton - California,United States,97877
San Angelo - Texas,United States,97492
Hillsboro - Oregon,United States,97368
Lawton - Oklahoma,United States,97151
Renton - Washington,United States,97003
Vista - California,United States,96929
Davie - Florida,United States,96830
Greeley - Colorado,United States,96539
Mission Viejo - California,United States,96346
Portsmouth - Virginia,United States,96205
Dearborn - Michigan,United States,95884
South Gate - California,United States,95677
Tuscaloosa - Alabama,United States,95334
Livonia - Michigan,United States,95208
New Bedford - Massachusetts,United States,95078
Vacaville - California,United States,94275
Brockton - Massachusetts,United States,94089
Roswell - Georgia,United States,94034
Beaverton - Oregon,United States,93542
Quincy - Massachusetts,United States,93494
Sparks - Nevada,United States,93282
Yakima - Washington,United States,93257
Lee's Summit - Missouri,United States,93184
Federal Way - Washington,United States,92734
Carson - California,United States,92599
Santa Monica - California,United States,92472
Hesperia - California,United States,92147
Allen - Texas,United States,92020
Rio Rancho - New Mexico,United States,91956
Yuma - Arizona,United States,91923
Westminster - California,United States,91739
Orem - Utah,United States,91648
Lynn - Massachusetts,United States,91589
Redding - California,United States,91119
Spokane Valley - Washington,United States,91113
Miami Beach - Florida,United States,91026
League City - Texas,United States,90983
Lawrence - Kansas,United States,90811
Santa Barbara - California,United States,90412
Plantation - Florida,United States,90268
Sandy - Utah,United States,90231
Sunrise - Florida,United States,90116
Macon - Georgia,United States,89981
Longmont - Colorado,United States,89919
Boca Raton - Florida,United States,89407
San Marcos - California,United States,89387
Greenville - North Carolina,United States,89130
Waukegan - Illinois,United States,88826
Fall River - Massachusetts,United States,88697
Chico - California,United States,88077
Newton - Massachusetts,United States,87971
San Leandro - California,United States,87965
Reading - Pennsylvania,United States,87893
Norwalk - Connecticut,United States,87776
Fort Smith - Arkansas,United States,87650
Newport Beach - California,United States,87273
Asheville - North Carolina,United States,87236
Nashua - New Hampshire,United States,87137
Edmond - Oklahoma,United States,87004
Whittier - California,United States,86635
Nampa - Idaho,United States,86518
Bloomington - Minnesota,United States,86319
Deltona - Florida,United States,86290
Hawthorne - California,United States,86199
Duluth - Minnesota,United States,86128
Carmel - Indiana,United States,85927
Suffolk - Virginia,United States,85728
Clifton - New Jersey,United States,85390
Citrus Heights - California,United States,85285
Livermore - California,United States,85156
Tracy - California,United States,84691
Alhambra - California,United States,84577
Kirkland - Washington,United States,84430
Trenton - New Jersey,United States,84349
Ogden - Utah,United States,84249
Hoover - Alabama,United States,84126
Cicero - Illinois,United States,84103
Fishers - Indiana,United States,83891
Sugar Land - Texas,United States,83860
Danbury - Connecticut,United States,83684
Meridian - Idaho,United States,83596
Indio - California,United States,83539
Concord - North Carolina,United States,83506
Menifee - California,United States,83447
Champaign - Illinois,United States,83424
Buena Park - California,United States,82882
Troy - Michigan,United States,82821
O'Fallon - Missouri,United States,82809
Johns Creek - Georgia,United States,82788
Bellingham - Washington,United States,82631
Westland - Michigan,United States,82578
Bloomington - Indiana,United States,82575
Sioux City - Iowa,United States,82459
Warwick - Rhode Island,United States,81971
Hemet - California,United States,81750
Longview - Texas,United States,81443
Farmington Hills - Michigan,United States,81295
Bend - Oregon,United States,81236
Lakewood - California,United States,81121
Merced - California,United States,81102
Mission - Texas,United States,81050
Chino - California,United States,80988
Redwood City - California,United States,80872
Edinburg - Texas,United States,80836
Cranston - Rhode Island,United States,80566
Parma - Ohio,United States,80429
New Rochelle - New York,United States,79446
Lake Forest - California,United States,79312
Napa - California,United States,79068
Hammond - Indiana,United States,78967
Fayetteville - Arkansas,United States,78960
Bloomington - Illinois,United States,78902
Avondale - Arizona,United States,78822
Somerville - Massachusetts,United States,78804
Palm Coast - Florida,United States,78740
Bryan - Texas,United States,78709
Gary - Indiana,United States,78450
Largo - Florida,United States,78409
Brooklyn Park - Minnesota,United States,78373
Tustin - California,United States,78327
Racine - Wisconsin,United States,78199
Deerfield Beach - Florida,United States,78041
Lynchburg - Virginia,United States,78014
Mountain View - California,United States,77846
Medford - Oregon,United States,77677
Lawrence - Massachusetts,United States,77657
Bellflower - California,United States,77593
Melbourne - Florida,United States,77508
St. Joseph - Missouri,United States,77147
Camden - New Jersey,United States,76903
St. George - Utah,United States,76817
Kennewick - Washington,United States,76762
Baldwin Park - California,United States,76635
Chino Hills - California,United States,76572
Alameda - California,United States,76419
Albany - Georgia,United States,76185
Arlington Heights - Illinois,United States,75994
Scranton - Pennsylvania,United States,75806
Evanston - Illinois,United States,75570
Kalamazoo - Michigan,United States,75548
Baytown - Texas,United States,75418
Upland - California,United States,75413
Springdale - Arkansas,United States,75229
Bethlehem - Pennsylvania,United States,75018
Schaumburg - Illinois,United States,74907
Mount Pleasant - South Carolina,United States,74885
Auburn - Washington,United States,74860
Decatur - Illinois,United States,74710
San Ramon - California,United States,74513
Pleasanton - California,United States,74110
Wyoming - Michigan,United States,74100
Lake Charles - Louisiana,United States,74024
Plymouth - Minnesota,United States,73987
Bolingbrook - Illinois,United States,73936
Pharr - Texas,United States,73790
Appleton - Wisconsin,United States,73596
Gastonia - North Carolina,United States,73209
Folsom - California,United States,73098
Southfield - Michigan,United States,73006
Rochester Hills - Michigan,United States,72952
New Britain - Connecticut,United States,72939
Goodyear - Arizona,United States,72864
Canton - Ohio,United States,72535
Warner Robins - Georgia,United States,72531
Union City - California,United States,72528
Perris - California,United States,72326
Manteca - California,United States,71948
Iowa City - Iowa,United States,71591
Jonesboro - Arkansas,United States,71551
Wilmington - Delaware,United States,71525
Lynwood - California,United States,71371
Loveland - Colorado,United States,71334
Pawtucket - Rhode Island,United States,71172
Boynton Beach - Florida,United States,71097
Waukesha - Wisconsin,United States,71016
Gulfport - Mississippi,United States,71012
Apple Valley - California,United States,70924
Passaic - New Jersey,United States,70868
Rapid City - South Dakota,United States,70812
Layton - Utah,United States,70790
Lafayette - Indiana,United States,70373
Turlock - California,United States,70365
Muncie - Indiana,United States,70316
Temple - Texas,United States,70190
Missouri City - Texas,United States,70185
Redlands - California,United States,69999
Santa Fe - New Mexico,United States,69976
Lauderhill - Florida,United States,69813
Milpitas - California,United States,69783
Palatine - Illinois,United States,69350
Missoula - Montana,United States,69122
Rock Hill - South Carolina,United States,69103
Jacksonville - North Carolina,United States,69079
Franklin - Tennessee,United States,68886
Flagstaff - Arizona,United States,68667
Flower Mound - Texas,United States,68609
Weston - Florida,United States,68388
Waterloo - Iowa,United States,68366
Union City - New Jersey,United States,68247
Mount Vernon - New York,United States,68224
Fort Myers - Florida,United States,68190
Dothan - Alabama,United States,68001
Rancho Cordova - California,United States,67911
Redondo Beach - California,United States,67815
Jackson - Tennessee,United States,67685
Pasco - Washington,United States,67599
St. Charles - Missouri,United States,67569
Eau Claire - Wisconsin,United States,67545
North Richland Hills - Texas,United States,67317
Bismarck - North Dakota,United States,67034
Yorba Linda - California,United States,67032
Kenner - Louisiana,United States,66975
Walnut Creek - California,United States,66900
Frederick - Maryland,United States,66893
Oshkosh - Wisconsin,United States,66778
Pittsburg - California,United States,66695
Palo Alto - California,United States,66642
Bossier City - Louisiana,United States,66333
Portland - Maine,United States,66318
St. Cloud - Minnesota,United States,66297
Davis - California,United States,66205
South San Francisco - California,United States,66174
Camarillo - California,United States,66086
North Little Rock - Arkansas,United States,66075
Schenectady - New York,United States,65902
Gaithersburg - Maryland,United States,65690
Harlingen - Texas,United States,65665
Woodbury - Minnesota,United States,65656
Eagan - Minnesota,United States,65453
Yuba City - California,United States,65416
Maple Grove - Minnesota,United States,65415
Youngstown - Ohio,United States,65184
Skokie - Illinois,United States,65176
Kissimmee - Florida,United States,65173
Johnson City - Tennessee,United States,65123
Victoria - Texas,United States,65098
San Clemente - California,United States,65040
Bayonne - New Jersey,United States,65028
Laguna Niguel - California,United States,64652
East Orange - New Jersey,United States,64544
Shawnee - Kansas,United States,64323
Homestead - Florida,United States,64079
Rockville - Maryland,United States,64072
Delray Beach - Florida,United States,64072
Janesville - Wisconsin,United States,63820
Conway - Arkansas,United States,63816
Pico Rivera - California,United States,63771
Lorain - Ohio,United States,63710
Montebello - California,United States,63495
Lodi - California,United States,63338
New Braunfels - Texas,United States,63279
Marysville - Washington,United States,63269
Tamarac - Florida,United States,63155
Madera - California,United States,63105
Conroe - Texas,United States,63032
Santa Cruz - California,United States,62864
Eden Prairie - Minnesota,United States,62603
Cheyenne - Wyoming,United States,62448
Daytona Beach - Florida,United States,62316
Alpharetta - Georgia,United States,62298
Hamilton - Ohio,United States,62258
Waltham - Massachusetts,United States,62227
Coon Rapids - Minnesota,United States,62103
Haverhill - Massachusetts,United States,62088
Council Bluffs - Iowa,United States,61969
Taylor - Michigan,United States,61817
Utica - New York,United States,61808
Ames - Iowa,United States,61792
La Habra - California,United States,61653
Encinitas - California,United States,61588
Bowling Green - Kentucky,United States,61488
Burnsville - Minnesota,United States,61434
Greenville - South Carolina,United States,61397
West Des Moines - Iowa,United States,61255
Cedar Park - Texas,United States,61238
Tulare - California,United States,61170
Monterey Park - California,United States,61085
Vineland - New Jersey,United States,61050
Terre Haute - Indiana,United States,61025
North Miami - Florida,United States,61007
Mansfield - Texas,United States,60872
West Allis - Wisconsin,United States,60697
Bristol - Connecticut,United States,60568
Taylorsville - Utah,United States,60519
Malden - Massachusetts,United States,60509
Meriden - Connecticut,United States,60456
Blaine - Minnesota,United States,60407
Wellington - Florida,United States,60202
Cupertino - California,United States,60189
Springfield - Oregon,United States,60177
Rogers - Arkansas,United States,60112
St. Clair Shores - Michigan,United States,60070
Gardena - California,United States,59957
Pontiac - Michigan,United States,59887
National City - California,United States,59834
Grand Junction - Colorado,United States,59778
Rocklin - California,United States,59738
Chapel Hill - North Carolina,United States,59635
Casper - Wyoming,United States,59628
Broomfield - Colorado,United States,59471
Petaluma - California,United States,59440
South Jordan - Utah,United States,59366
Springfield - Ohio,United States,59357
Great Falls - Montana,United States,59351
Lancaster - Pennsylvania,United States,59325
North Port - Florida,United States,59212
Lakewood - Washington,United States,59097
Marietta - Georgia,United States,59089
San Rafael - California,United States,58994
Royal Oak - Michigan,United States,58946
Des Plaines - Illinois,United States,58918
Huntington Park - California,United States,58879
La Mesa - California,United States,58642
Orland Park - Illinois,United States,58590
Auburn - Alabama,United States,58582
Lakeville - Minnesota,United States,58562
Owensboro - Kentucky,United States,58416
Moore - Oklahoma,United States,58414
Jupiter - Florida,United States,58298
Idaho Falls - Idaho,United States,58292
Dubuque - Iowa,United States,58253
Bartlett - Tennessee,United States,58226
Rowlett - Texas,United States,58043
Novi - Michigan,United States,57960
White Plains - New York,United States,57866
Arcadia - California,United States,57639
Redmond - Washington,United States,57530
Lake Elsinore - California,United States,57525
Ocala - Florida,United States,57468
Tinley Park - Illinois,United States,57282
Port Orange - Florida,United States,57203
Medford - Massachusetts,United States,57170
Oak Lawn - Illinois,United States,57073
Rocky Mount - North Carolina,United States,56954
Kokomo - Indiana,United States,56895
Coconut Creek - Florida,United States,56792
Bowie - Maryland,United States,56759
Berwyn - Illinois,United States,56758
Midwest City - Oklahoma,United States,56756
Fountain Valley - California,United States,56707
Buckeye - Arizona,United States,56683
Dearborn Heights - Michigan,United States,56620
Woodland - California,United States,56590
Noblesville - Indiana,United States,56540
Valdosta - Georgia,United States,56481
Diamond Bar - California,United States,56449
Manhattan - Kansas,United States,56143
Santee - California,United States,56105
Taunton - Massachusetts,United States,56069
Sanford - Florida,United States,56002
Kettering - Ohio,United States,55870
New Brunswick - New Jersey,United States,55831
Decatur - Alabama,United States,55816
Chicopee - Massachusetts,United States,55717
Anderson - Indiana,United States,55670
Margate - Florida,United States,55456
Weymouth Town - Massachusetts,United States,55419
Hempstead - New York,United States,55361
Corvallis - Oregon,United States,55298
Eastvale - California,United States,55191
Porterville - California,United States,55174
West Haven - Connecticut,United States,55046
Brentwood - California,United States,55000
Paramount - California,United States,54980
Grand Forks - North Dakota,United States,54932
Georgetown - Texas,United States,54898
St. Peters - Missouri,United States,54842
Shoreline - Washington,United States,54790
Mount Prospect - Illinois,United States,54771
Hanford - California,United States,54686
Normal - Illinois,United States,54664
Rosemead - California,United States,54561
Lehi - Utah,United States,54382
Pocatello - Idaho,United States,54350
Highland - California,United States,54291
Novato - California,United States,54194
Port Arthur - Texas,United States,54135
Carson City - Nevada,United States,54080
San Marcos - Texas,United States,54076
Hendersonville - Tennessee,United States,54068
Elyria - Ohio,United States,53956
Revere - Massachusetts,United States,53756
Pflugerville - Texas,United States,53752
Greenwood - Indiana,United States,53665
Bellevue - Nebraska,United States,53663
Wheaton - Illinois,United States,53648
Smyrna - Georgia,United States,53438
Sarasota - Florida,United States,53326
Blue Springs - Missouri,United States,53294
Colton - California,United States,53243
Euless - Texas,United States,53224
Castle Rock - Colorado,United States,53063
Cathedral City - California,United States,52977
Kingsport - Tennessee,United States,52962
Lake Havasu City - Arizona,United States,52844
Pensacola - Florida,United States,52703
Hoboken - New Jersey,United States,52575
Yucaipa - California,United States,52536
Watsonville - California,United States,52477
Richland - Washington,United States,52413
Delano - California,United States,52403
Hoffman Estates - Illinois,United States,52398
Florissant - Missouri,United States,52363
Placentia - California,United States,52206
West New York - New Jersey,United States,52122
Dublin - California,United States,52105
Oak Park - Illinois,United States,52066
Peabody - Massachusetts,United States,52044
Perth Amboy - New Jersey,United States,51982
Battle Creek - Michigan,United States,51848
Bradenton - Florida,United States,51763
Gilroy - California,United States,51701
Milford - Connecticut,United States,51644
Albany - Oregon,United States,51583
Ankeny - Iowa,United States,51567
La Crosse - Wisconsin,United States,51522
Burlington - North Carolina,United States,51510
DeSoto - Texas,United States,51483
Harrisonburg - Virginia,United States,51395
Minnetonka - Minnesota,United States,51368
Elkhart - Indiana,United States,51265
Lakewood - Ohio,United States,51143
Glendora - California,United States,51074
Southaven - Mississippi,United States,50997
Charleston - West Virginia,United States,50821
Joplin - Missouri,United States,50789
Enid - Oklahoma,United States,50725
Palm Beach Gardens - Florida,United States,50699
Brookhaven - Georgia,United States,50603
Plainfield - New Jersey,United States,50588
Grand Island - Nebraska,United States,50550
Palm Desert - California,United States,50508
Huntersville - North Carolina,United States,50458
Tigard - Oregon,United States,50444
Lenexa - Kansas,United States,50344
Saginaw - Michigan,United States,50303
Kentwood - Michigan,United States,50233
Doral - Florida,United States,50213
Apple Valley - Minnesota,United States,50201
Grapevine - Texas,United States,50195
Aliso Viejo - California,United States,50175
Sammamish - Washington,United States,50169
Casa Grande - Arizona,United States,50111
Pinellas Park - Florida,United States,49998
Troy - New York,United States,49974
West Sacramento - California,United States,49891
Burien - Washington,United States,49858
Commerce City - Colorado,United States,49799
Monroe - Louisiana,United States,49761
Cerritos - California,United States,49707
Downers Grove - Illinois,United States,49670
Coral Gables - Florida,United States,49631
Wilson - North Carolina,United States,49628
Niagara Falls - New York,United States,49468
Poway - California,United States,49417
Edina - Minnesota,United States,49376
Cuyahoga Falls - Ohio,United States,49267
Rancho Santa Margarita - California,United States,49228
Harrisburg - Pennsylvania,United States,49188
Huntington - West Virginia,United States,49177
La Mirada - California,United States,49133
Cypress - California,United States,49087
Caldwell - Idaho,United States,48957
Logan - Utah,United States,48913
Galveston - Texas,United States,48733
Sheboygan - Wisconsin,United States,48725
Middletown - Ohio,United States,48630
Murray - Utah,United States,48612
Roswell - New Mexico,United States,48611
Parker - Colorado,United States,48608
Bedford - Texas,United States,48592
East Lansing - Michigan,United States,48554
Methuen - Massachusetts,United States,48514
Covina - California,United States,48508
Alexandria - Louisiana,United States,48426
Olympia - Washington,United States,48338
Euclid - Ohio,United States,48139
Mishawaka - Indiana,United States,47989
Salina - Kansas,United States,47846
Azusa - California,United States,47842
Newark - Ohio,United States,47777
Chesterfield - Missouri,United States,47749
Leesburg - Virginia,United States,47673
Dunwoody - Georgia,United States,47591
Hattiesburg - Mississippi,United States,47556
Roseville - Michigan,United States,47555
Bonita Springs - Florida,United States,47547
Portage - Michigan,United States,47523
St. Louis Park - Minnesota,United States,47411
Collierville - Tennessee,United States,47333
Middletown - Connecticut,United States,47333
Stillwater - Oklahoma,United States,47186
East Providence - Rhode Island,United States,47149
Lawrence - Indiana,United States,47135
Wauwatosa - Wisconsin,United States,47134
Mentor - Ohio,United States,46979
Ceres - California,United States,46714
Cedar Hill - Texas,United States,46663
Mansfield - Ohio,United States,46454
Binghamton - New York,United States,46444
Coeur d'Alene - Idaho,United States,46402
San Luis Obispo - California,United States,46377
Minot - North Dakota,United States,46321
Palm Springs - California,United States,46281
Pine Bluff - Arkansas,United States,46094
Texas City - Texas,United States,46081
Summerville - South Carolina,United States,46074
Twin Falls - Idaho,United States,45981
Jeffersonville - Indiana,United States,45929
San Jacinto - California,United States,45851
Madison - Alabama,United States,45799
Altoona - Pennsylvania,United States,45796
Columbus - Indiana,United States,45775
Beavercreek - Ohio,United States,45712
Apopka - Florida,United States,45587
Elmhurst - Illinois,United States,45556
Maricopa - Arizona,United States,45508
Farmington - New Mexico,United States,45426
Glenview - Illinois,United States,45417
Cleveland Heights - Ohio,United States,45394
Draper - Utah,United States,45285
Lincoln - California,United States,45237
Sierra Vista - Arizona,United States,45129
