ID,Category,Wind Speed (mph),Rain Fall (in.),Flood Depth (in.),Diameter (mi.),Warning Time,Start Time (made landfall),End Time (< category 1),Path,Path Length (mi.),Deaths,Permanent Injuries,Less Severe Injuries,Buildings Destroyed
H-2000132,3,116,13,26,237,"Nov. 22, 1881 - 16:02:32","Nov. 27, 1881 - 15:43:36","Nov. 28, 1881 - 07:43:36","48.65981, 69.292065 -> 51.819005, 65.661966 -> 46.752504, 69.093815 -> 43.443386, 70.69559 -> 42.939013, 53.234071 -> 49.15896, 81.902322 -> 46.22604, 61.338985 -> 54.147204, 72.857097 -> 46.717151, 81.947196 -> 51.418857, 77.27443 -> 53.541235, 70.330297 -> 53.370994, 83.253745 -> 46.482732, 72.476047 -> 42.186026, 69.285559 -> 45.818179, 77.976349 -> 48.518461, 67.910904 -> 48.131546, 86.179386 -> 47.36827, 70.569016 -> 52.498242, 76.474753 -> 53.050579, 73.010924 -> 52.089196, 59.321186 -> 50.151135, 73.259391 -> 51.094874, 70.63646 -> 45.457681, 72.934622 -> 52.938547, 58.69379 -> 51.000764, 57.771921 -> 42.091447, 82.36217 -> 44.525257, 76.241972 -> 44.234532, 70.239404 -> 50.238218, 86.615244 -> 50.023678, 69.543067 -> 52.161042, 52.384432 -> 41.54991, 68.050434 -> 46.748511, 66.789784",147.0,6551,32053,106162,27585
H-2000133,1,94,6,5,89,"Aug. 25, 1929 - 14:38:51","Sep. 5, 1929 - 00:01:02","Sep. 5, 1929 - 12:01:02","28.72261, 36.470812 -> 26.544639, 43.877135 -> 27.892691, 36.768997 -> 17.916984, 41.761098 -> 20.484828, 49.899944 -> 23.788063, 38.414902 -> 18.149467, 43.714758 -> 30.283117, 48.09096 -> 30.626281, 41.150752 -> 28.468527, 39.163543 -> 30.308708, 40.01429 -> 29.105953, 48.369061 -> 18.988968, 48.991881 -> 27.802679, 37.786224 -> 29.965489, 44.975402 -> 19.920381, 53.993823 -> 29.431892, 41.402575 -> 29.463948, 44.401959 -> 26.038391, 51.061001 -> 20.461163, 45.51014 -> 20.440066, 36.242499 -> 18.514164, 39.18068 -> 17.842348, 48.279791 -> 24.68457, 53.055614 -> 24.786847, 41.503055 -> 23.470145, 45.798935 -> 19.307106, 51.637432 -> 27.540545, 39.804766 -> 29.18536, 49.658466 -> 27.242609, 47.51421 -> 21.409154, 48.218349 -> 30.068734, 37.139622 -> 30.17012, 51.281089 -> 26.169373, 35.570861",108.0,4262,0,56722,12751
H-2000134,2,96,12,35,264,"Dec. 16, 1871 - 14:35:21","Dec. 27, 1871 - 04:26:14","Dec. 27, 1871 - 21:26:14","56.373308, -122.432432 -> 52.408491, -86.116025 -> 66.8985, -136.079902 -> 59.953289, -68.626843 -> 61.659869, -105.399999 -> 55.638849, -129.400978 -> 69.461681, -109.53163 -> 52.105952, -110.621842 -> 50.539501, -102.59462 -> 52.532373, -65.275512 -> 59.632391, -75.094895 -> 58.448062, -77.982789 -> 63.286351, -105.852724 -> 59.859074, -118.233315 -> 63.433562, -131.289584 -> 68.505764, -87.536801 -> 63.637702, -78.112577 -> 59.19391, -106.484717 -> 57.975105, -129.764554 -> 57.257571, -63.138264 -> 51.491911, -128.379038 -> 60.750585, -113.439218 -> 58.982081, -93.378589 -> 65.198521, -96.064355 -> 65.201437, -129.138974 -> 61.745857, -65.492993 -> 60.390951, -108.728919 -> 69.574404, -112.707173 -> 54.33165, -102.026167 -> 55.880526, -115.44796 -> 54.620268, -78.927175 -> 55.131135, -105.066312 -> 52.820765, -94.182635 -> 54.936184, -60.820428",149.0,2651,0,37152,11864
H-2000135,4,154,32,138,325,"May 1, 1929 - 08:08:05","May 9, 1929 - 18:34:36","May 10, 1929 - 12:34:36","14.765468, 81.379277 -> 17.320722, 73.073301 -> 19.631566, 79.861904 -> 10.799233, 81.738658 -> 12.030073, 80.07742 -> 19.27439, 77.14203 -> 18.277515, 81.928679 -> 27.320904, 79.123983 -> 11.749669, 74.845311 -> 12.912152, 75.56264 -> 21.879313, 79.099429 -> 24.730223, 87.249046 -> 12.310844, 81.841479 -> 27.46344, 81.212955 -> 17.316408, 87.109524 -> 17.616012, 86.364431 -> 16.834273, 73.905204 -> 25.488183, 73.457755 -> 28.151205, 70.283065 -> 16.093894, 71.478478 -> 25.151014, 76.760306 -> 10.864875, 72.755861 -> 26.335811, 80.137037 -> 30.636871, 69.150164 -> 27.185362, 69.40917 -> 17.488019, 73.225887 -> 25.848219, 71.511426 -> 22.873674, 76.092543 -> 29.797216, 79.428114 -> 17.309565, 85.851564 -> 8.901652, 75.899627 -> 27.786599, 69.131371 -> 19.17806, 74.882707 -> 9.623898, 86.792617",173.0,104947,388464,1264437,362173
H-2000136,5,190,43,166,444,"Jan. 13, 1936 - 01:46:41","Jan. 18, 1936 - 20:26:20","Jan. 19, 1936 - 19:26:20","52.927431, -105.686744 -> 60.230462, -79.923466 -> 56.240086, -113.346284 -> 58.921212, -83.134537 -> 55.814524, -122.052868 -> 69.694597, -134.510053 -> 60.240126, -61.98551 -> 52.028838, -75.650862 -> 60.516526, -104.572982 -> 61.788166, -137.620266 -> 53.962197, -120.909413 -> 62.910262, -121.263232 -> 64.983597, -114.318383 -> 55.057441, -78.027588 -> 59.16267, -79.317653 -> 53.006174, -136.511798 -> 59.98968, -125.532522 -> 64.628141, -74.566729 -> 64.947765, -130.318175 -> 51.162419, -137.257319 -> 68.526982, -126.484472 -> 49.910857, -119.170294 -> 52.8083, -90.14837 -> 69.264501, -132.410062 -> 52.604391, -79.573019 -> 55.006574, -93.322143 -> 66.947439, -137.382277 -> 68.431734, -119.68234 -> 52.586093, -134.639188 -> 69.674368, -90.048353 -> 55.949909, -70.294367 -> 54.669677, -93.477154 -> 65.782157, -79.27582 -> 54.880448, -64.111208",209.0,81439,971184,1340830,282717
H-2000137,3,125,16,43,205,"Jul. 28, 1944 - 22:26:58","Aug. 2, 1944 - 23:13:54","Aug. 3, 1944 - 15:13:54","30.617928, 104.356958 -> 35.595067, 89.758957 -> 32.500374, 112.449808 -> 23.582007, 96.555607 -> 32.082138, 101.35668 -> 28.670739, 107.918618 -> 36.987941, 96.153994 -> 34.648443, 103.190967 -> 37.76002, 107.502757 -> 27.307887, 118.780782 -> 22.420916, 100.150354 -> 33.812895, 116.891949 -> 25.793019, 111.797025 -> 28.46547, 91.265903 -> 26.249852, 117.791292 -> 25.910749, 95.10251 -> 27.397079, 100.49876 -> 24.078226, 103.743657 -> 31.68555, 112.847142 -> 23.967767, 113.210142 -> 32.916624, 108.699736 -> 31.841864, 108.333805 -> 30.875613, 111.581932 -> 27.309624, 93.395637 -> 38.70042, 97.004613 -> 32.127921, 88.357668 -> 36.051739, 106.707158 -> 26.843655, 96.100581 -> 25.142526, 118.83788 -> 30.427007, 102.730341 -> 25.374471, 108.814276 -> 33.653093, 94.829634 -> 27.077055, 109.90519 -> 26.497857, 116.225219",142.0,250064,920552,4802374,1204967
H-2000138,2,109,11,27,177,"Nov. 12, 1874 - 11:31:37","Nov. 22, 1874 - 05:20:48","Nov. 22, 1874 - 20:20:48","-4.456898, -71.483707 -> -6.780858, -72.212471 -> 2.209588, -60.053215 -> -4.823467, -54.486987 -> -3.929778, -52.330495 -> -19.352413, -61.583161 -> -3.722622, -48.689797 -> -7.587976, -36.184489 -> -4.874157, -36.727065 -> -10.644035, -52.112385 -> 0.302491, -49.377643 -> -11.017949, -68.278594 -> -9.964569, -50.442974 -> -12.654889, -49.489849 -> 3.08342, -39.711242 -> -18.177306, -68.185128 -> 0.944243, -49.922088 -> -15.589236, -48.995113 -> -6.718062, -55.435782 -> -12.718454, -56.691455 -> -14.567028, -65.143057 -> -4.755047, -60.911058 -> -19.427149, -54.402319 -> 0.508193, -44.196489 -> 1.657429, -63.642591 -> -15.200189, -58.277636 -> 1.712397, -44.257704 -> -13.609781, -44.643915 -> -18.908058, -55.766054 -> -6.65324, -51.454139 -> -16.695296, -45.423831 -> -19.504008, -56.430086 -> -6.887069, -62.276729 -> 3.25934, -49.36463",147.0,17659,0,220841,58143
H-2000139,4,153,33,136,411,"Mar. 08, 1984 - 10:55:55","Mar. 16, 1984 - 07:32:47","Mar. 17, 1984 - 01:32:47","-11.806249, 13.05712 -> 0.89779, 24.785968 -> -11.215875, 21.227096 -> 2.805304, 20.07186 -> 3.140001, 12.998563 -> -3.848485, 21.827558 -> -12.942659, 24.758857 -> -1.870866, 18.442938 -> -7.396598, 26.139211 -> 0.694955, 28.858637 -> -10.450426, 22.996689 -> -5.52587, 16.631684 -> -8.956979, 26.282247 -> -2.564343, 18.12121 -> -6.411114, 20.417455 -> -10.3745, 19.109881 -> 3.106999, 25.538103 -> 1.189586, 15.372582 -> -0.077077, 13.219014 -> -4.528679, 24.957508 -> 4.472691, 17.075738 -> -3.157347, 19.830665 -> -3.174714, 14.283998 -> -0.717981, 25.404391 -> -0.893132, 24.487363 -> 0.259081, 12.938114 -> -1.841165, 22.075126 -> -7.645777, 18.654734 -> 2.28833, 23.404612 -> -7.913507, 23.148887 -> -11.856294, 19.557235 -> -3.088479, 23.798177 -> -5.07503, 19.139339 -> 4.648161, 19.313412",185.0,63751,237474,1305887,328818
H-2000140,5,172,36,142,885,"Mar. 2, 1913 - 00:42:55","Mar. 6, 1913 - 04:31:53","Mar. 7, 1913 - 04:31:53","0.34821, 139.119189 -> -6.912339, 113.725907 -> -4.86873, 109.612988 -> 3.331121, 132.077888 -> 4.458372, 136.94019 -> -6.845423, 97.548297 -> 6.98925, 132.542522 -> 6.154014, 101.559898 -> -8.561814, 104.326757 -> -7.907626, 116.672828 -> 2.400764, 133.961781 -> -5.587732, 140.435378 -> 2.875352, 96.47458 -> 3.224233, 115.716627 -> -2.085942, 130.197733 -> -7.749156, 109.24424 -> 7.846133, 132.613157 -> -7.424887, 112.854709 -> 0.990572, 121.529615 -> -6.964515, 132.239336 -> -1.927529, 137.42139 -> -6.870163, 120.725764 -> -6.600616, 131.267756 -> -1.698847, 119.547804 -> 0.751745, 117.736545 -> -9.517428, 117.860694 -> -3.985193, 118.143875 -> -2.970792, 126.527582 -> 2.268609, 115.47371 -> 0.06702, 96.314781 -> -1.297689, 106.619877 -> -9.020067, 118.292143 -> 1.004573, 99.854651 -> 8.017205, 116.46846",180.0,72099,1116241,1768428,256724
H-2000141,5,159,28,96,410,"Apr. 08, 1948 - 21:04:55","Apr. 19, 1948 - 15:16:58","Apr. 20, 1948 - 13:16:58","12.238663, 85.277748 -> 11.521859, 70.651087 -> 19.227313, 78.445989 -> 11.930709, 80.049459 -> 21.439192, 76.75449 -> 11.572072, 85.392183 -> 26.390994, 69.396662 -> 9.952124, 78.717382 -> 16.005008, 71.374217 -> 25.138365, 85.87129 -> 21.848167, 77.756172 -> 20.377685, 77.084541 -> 20.429714, 74.406458 -> 22.640395, 72.851805 -> 19.023913, 71.309447 -> 27.269268, 82.300233 -> 11.435921, 72.814424 -> 25.097889, 71.444214 -> 18.764858, 82.595048 -> 30.028733, 83.939079 -> 12.358398, 76.795007 -> 17.103996, 70.837734 -> 16.63296, 85.752386 -> 11.262423, 80.793501 -> 15.475062, 85.009439 -> 15.813319, 73.830301 -> 23.373153, 69.237894 -> 21.891624, 82.805641 -> 24.247333, 84.928763 -> 10.481241, 83.37295 -> 17.65666, 71.832135 -> 19.101797, 75.162925 -> 13.844761, 81.660605 -> 13.015447, 69.042974",181.0,491998,6469621,12067091,2124625
H-2000142,3,124,13,35,365,"Nov. 15, 1898 - 22:08:38","Nov. 24, 1898 - 03:43:24","Nov. 24, 1898 - 22:43:24","1.37246, -49.412909 -> -12.816282, -61.300825 -> -9.69498, -36.349553 -> -13.568066, -36.417066 -> -16.16375, -40.247848 -> -8.745802, -37.314355 -> -13.98002, -61.998503 -> 0.118301, -66.770162 -> -1.69762, -61.448288 -> 1.440842, -56.61147 -> -17.930148, -57.071019 -> -6.923104, -43.377891 -> -12.281448, -39.576966 -> -15.214177, -52.816824 -> -1.213703, -35.944098 -> -12.722883, -35.617033 -> -15.506712, -72.153322 -> -8.771272, -70.880457 -> 0.504797, -45.300278 -> -10.633333, -64.419761 -> -6.26383, -39.247971 -> -14.37945, -71.943615 -> 0.215088, -71.563737 -> -18.968576, -69.807823 -> -1.875943, -55.343905 -> -7.118284, -41.406643 -> -18.612878, -45.805162 -> -14.374684, -48.033409 -> -13.11423, -72.75485 -> -17.199964, -53.518224 -> -1.762619, -65.463771 -> -9.697548, -41.781368 -> -5.129985, -52.277021 -> -0.426274, -49.25811",170.0,45651,165615,1112386,177877
H-2000143,2,107,9,17,339,"Sep. 08, 1910 - 22:33:40","Sep. 19, 1910 - 21:18:54","Sep. 20, 1910 - 11:18:54","56.556813, 75.120398 -> 57.925828, 127.065511 -> 58.107369, 43.564631 -> 59.266516, 87.672033 -> 58.466317, 163.707602 -> 68.953984, 102.651105 -> 67.489095, 172.926174 -> 76.277608, 43.02598 -> 76.73568, 111.860172 -> 56.286214, 147.81571 -> 62.89408, 163.826959 -> 68.048277, 92.69589 -> 74.593412, 167.939248 -> 77.223602, 53.551926 -> 72.97927, 45.573862 -> 62.486859, 74.219537 -> 59.438998, 152.144058 -> 56.793176, 59.29042 -> 59.14094, 138.285743 -> 58.451603, 80.699013 -> 65.678133, 60.106301 -> 70.521212, 123.190325 -> 64.106912, 41.147372 -> 56.520288, 169.18724 -> 61.797428, 89.724237 -> 55.930631, 46.343403 -> 68.991242, 163.283953 -> 57.838164, 104.945348 -> 58.09916, 138.864463 -> 73.166564, 71.088749 -> 75.071852, 136.64872 -> 67.983388, 83.38843 -> 58.473449, 59.535082 -> 63.514176, 171.773416",149.0,14077,0,280832,63346
H-2000144,4,137,20,32,555,"Feb. 02, 1994 - 14:01:16","Feb. 11, 1994 - 09:57:06","Feb. 12, 1994 - 05:57:06","59.074066, 90.883451 -> 62.945198, 92.393461 -> 67.828642, 65.211485 -> 64.512873, 137.688177 -> 56.967433, 172.243459 -> 66.843566, 47.979481 -> 59.763292, 38.856241 -> 55.842113, 114.562812 -> 73.831058, 69.887835 -> 72.883934, 115.64641 -> 57.247143, 122.385974 -> 64.612323, 130.418365 -> 67.839497, 120.611961 -> 55.895393, 75.81995 -> 76.58786, 170.038292 -> 55.953939, 119.641051 -> 73.543552, 38.449666 -> 65.941867, 100.357002 -> 69.054771, 77.393588 -> 73.236834, 170.136714 -> 64.305169, 70.390295 -> 75.235777, 64.31149 -> 70.334337, 74.080425 -> 77.12125, 148.880263 -> 62.757579, 73.550186 -> 77.133552, 156.416687 -> 65.596211, 61.041395 -> 60.536307, 72.873234 -> 66.841073, 120.055762 -> 60.116711, 63.789527 -> 74.945552, 158.813444 -> 71.696325, 117.063409 -> 55.880348, 168.613359 -> 62.507979, 45.956679",167.0,57130,229851,1522045,248420
H-2000145,1,83,5,23,31,"Apr. 14, 2009 - 17:58:12","Apr. 20, 2009 - 04:11:53","Apr. 20, 2009 - 16:11:53","-4.986322, -39.710937 -> -18.568634, -37.885098 -> -20.1268, -67.611646 -> -12.611107, -41.375291 -> -5.291654, -64.237528 -> -2.111942, -65.050384 -> 2.812635, -72.276802 -> -4.670739, -70.156301 -> -6.513299, -71.846572 -> -8.333596, -56.777708 -> -2.95413, -70.663227 -> 1.136661, -65.897996 -> -4.989091, -54.503381 -> -17.565479, -40.768912 -> -16.24133, -61.183495 -> -9.0241, -43.907661 -> -20.860591, -54.6907 -> -13.504858, -46.537912 -> -19.793933, -62.584972 -> -12.454367, -51.628094 -> 3.534546, -49.142614 -> 1.141528, -62.006719 -> -0.369679, -58.574075 -> -20.085086, -55.09461 -> -0.071078, -41.336934 -> 2.746738, -44.940061 -> -2.164427, -60.483065 -> 2.489333, -55.560467 -> -10.453774, -71.924495 -> -0.650064, -64.255906 -> -18.039783, -44.100063 -> -19.87172, -36.454693 -> -3.089568, -64.510892 -> -13.757953, -51.278507",119.0,9380,0,115633,38273
H-2000146,5,171,52,229,445,"Dec. 11, 1950 - 04:42:07","Dec. 17, 1950 - 17:15:54","Dec. 18, 1950 - 13:15:54","-25.494412, 129.842753 -> -16.02383, 147.922537 -> -13.457532, 136.239186 -> -27.256086, 149.80091 -> -23.659012, 152.511381 -> -27.988546, 148.848358 -> -23.938229, 124.924114 -> -31.098368, 152.088975 -> -32.805664, 139.523372 -> -33.327988, 150.230477 -> -26.365498, 119.195926 -> -26.603496, 143.868854 -> -23.909792, 132.578368 -> -31.630037, 123.017764 -> -17.162664, 148.668311 -> -19.806361, 139.409466 -> -29.556506, 137.713411 -> -18.728287, 137.395176 -> -25.242951, 147.62346 -> -11.558287, 144.457244 -> -22.814706, 123.632868 -> -36.59639, 149.61361 -> -23.134773, 146.352312 -> -19.103668, 148.910517 -> -18.454027, 120.504475 -> -32.019387, 115.233073 -> -29.377964, 116.313498 -> -38.838315, 115.429488 -> -16.187103, 133.052122 -> -20.062546, 143.11929 -> -16.038107, 122.684919 -> -32.198758, 128.865723 -> -22.141957, 142.49989 -> -13.131091, 118.921623",210.0,137866,2244823,2513815,529997
H-2000147,4,135,30,113,424,"Apr. 05, 1880 - 21:21:12","Apr. 14, 1880 - 20:30:19","Apr. 15, 1880 - 16:30:19","-37.358472, -58.025068 -> -38.243667, -66.294735 -> -48.930036, -59.654161 -> -34.819508, -56.050219 -> -45.116968, -68.847511 -> -31.214348, -60.34567 -> -42.360491, -66.357961 -> -42.686494, -66.682982 -> -32.749076, -63.767768 -> -22.335732, -67.229288 -> -32.436901, -63.556216 -> -29.221074, -60.828607 -> -32.984379, -69.890851 -> -38.646581, -61.033021 -> -45.785216, -63.969076 -> -41.29796, -65.718247 -> -31.869672, -59.149396 -> -30.853199, -55.971115 -> -33.810518, -59.081643 -> -23.012739, -67.896212 -> -27.368135, -62.928668 -> -48.06565, -66.454391 -> -38.789586, -56.429913 -> -46.657697, -62.926536 -> -49.933832, -56.754008 -> -37.997755, -69.883899 -> -44.199835, -66.786896 -> -32.842225, -56.5454 -> -42.20078, -59.572532 -> -24.348135, -60.454462 -> -42.425801, -62.72971 -> -29.030325, -56.478941 -> -27.066699, -58.816888 -> -30.433419, -65.243404",170.0,18153,70389,355363,71240
H-2000148,5,161,55,206,459,"Nov. 27, 1936 - 20:46:24","Dec. 7, 1936 - 10:40:53","Dec. 8, 1936 - 07:40:53","27.263101, 119.220041 -> 27.038029, 95.873159 -> 38.714283, 89.267761 -> 28.316959, 104.991085 -> 33.287007, 97.781482 -> 29.787165, 115.207404 -> 23.681209, 114.973637 -> 26.3045, 108.362792 -> 31.387466, 98.706664 -> 29.798078, 101.556193 -> 23.294043, 104.06645 -> 32.433915, 118.908657 -> 29.551099, 112.426362 -> 28.980027, 100.878807 -> 33.858255, 102.744065 -> 36.660706, 93.241421 -> 25.105319, 119.95554 -> 38.108636, 92.274299 -> 26.185839, 119.956341 -> 24.557321, 93.240609 -> 36.045215, 100.517363 -> 35.481673, 94.150982 -> 28.825924, 109.302436 -> 37.172651, 115.093916 -> 33.364648, 100.127542 -> 35.146955, 100.788635 -> 23.291992, 119.080417 -> 25.965145, 93.570892 -> 29.333812, 106.9188 -> 35.444507, 93.902096 -> 37.351862, 100.818943 -> 24.106628, 100.710272 -> 34.698813, 107.79761 -> 38.708687, 87.909697",196.0,896209,15585236,19899755,3658112
H-2000149,1,78,6,10,86,"May 15, 1958 - 12:01:41","May 20, 1958 - 21:14:36","May 21, 1958 - 11:14:36","-3.778589, 21.474301 -> -11.629793, 24.396358 -> -8.091114, 13.751277 -> -8.537211, 25.299091 -> -7.7939, 17.350583 -> -0.790705, 17.424838 -> -11.109509, 21.838181 -> -12.466115, 16.836784 -> 3.132404, 13.456067 -> -4.391658, 18.583231 -> 1.004986, 23.055326 -> -3.030687, 13.006258 -> -3.259187, 22.096397 -> -5.026089, 26.569438 -> 4.631608, 21.871946 -> -8.34673, 26.225682 -> -10.303558, 27.466956 -> -1.366934, 22.552323 -> -10.401448, 25.44475 -> -1.571476, 23.758974 -> -4.865483, 20.180174 -> 2.269352, 13.879495 -> -4.504544, 13.039616 -> -0.622225, 19.006714 -> -2.945488, 24.011807 -> -7.683948, 20.592015 -> -11.829689, 13.466617 -> -11.346551, 19.80455 -> 0.662904, 20.993036 -> -6.750958, 28.822188 -> -0.362723, 21.124894 -> -2.156696, 27.794321 -> -12.213673, 25.802915 -> -2.860174, 14.839905",127.0,21933,0,343989,86109
H-2000150,4,142,31,106,225,"Aug. 25, 1873 - 10:09:21","Sep. 4, 1873 - 01:16:35","Sep. 4, 1873 - 19:16:35","33.459886, 2.497273 -> 34.148574, 0.805854 -> 30.789193, -4.623314 -> 22.979217, 0.085876 -> 28.11807, 7.263412 -> 22.355542, 4.527662 -> 29.765465, 5.464619 -> 28.222071, 10.608336 -> 28.91446, 9.396281 -> 32.596258, 4.850385 -> 21.712277, 7.770105 -> 33.390863, -3.058977 -> 22.863623, -6.806692 -> 30.488903, 1.768353 -> 29.263502, 10.943641 -> 33.782083, 7.329769 -> 23.984453, -4.666323 -> 35.485581, 5.509809 -> 29.198877, -6.507469 -> 29.310716, -5.805867 -> 27.370514, 0.839958 -> 34.753437, -5.912459 -> 22.615799, -4.358139 -> 22.858151, -1.524875 -> 24.863866, 6.634512 -> 24.892555, -3.705231 -> 20.528843, 1.859909 -> 24.988647, 1.162909 -> 20.204757, 5.254093 -> 26.323495, 3.766699 -> 23.769915, 7.617019 -> 36.474403, -3.152691 -> 23.367137, -7.851873 -> 22.045069, 3.118898",162.0,13472,51345,301334,52404
H-2000151,1,90,7,23,83,"Nov. 22, 1938 - 18:19:37","Nov. 27, 1938 - 20:21:09","Nov. 28, 1938 - 10:21:09","64.376661, 139.564534 -> 70.636222, 54.200111 -> 71.773146, 56.000661 -> 61.134963, 81.407374 -> 75.260685, 121.898579 -> 66.246986, 89.976201 -> 73.778666, 176.648646 -> 62.286275, 58.064345 -> 59.338805, 100.707154 -> 65.579582, 110.65866 -> 61.785826, 134.022614 -> 60.088386, 148.672243 -> 67.291266, 68.603574 -> 64.306658, 108.510829 -> 72.890422, 122.100613 -> 69.298702, 168.854278 -> 62.7514, 152.478992 -> 69.935057, 110.459747 -> 66.673241, 171.577128 -> 65.836665, 74.740856 -> 74.826148, 95.467098 -> 60.793028, 163.947328 -> 70.616523, 69.154892 -> 74.531745, 128.918544 -> 58.823781, 126.65953 -> 70.716913, 40.808593 -> 57.614623, 68.303825 -> 72.187805, 121.260559 -> 63.789778, 176.511448 -> 65.572637, 71.722401 -> 76.364838, 53.936784 -> 76.723732, 80.314904 -> 71.125693, 171.791447 -> 76.547299, 82.833571",111.0,9889,0,128357,37515
H-2000152,4,154,20,52,498,"Nov. 25, 1921 - 03:46:53","Nov. 29, 1921 - 10:23:27","Nov. 30, 1921 - 05:23:27","22.612735, 41.79957 -> 30.625887, 48.35517 -> 21.240186, 41.970468 -> 26.751322, 51.187519 -> 20.411566, 51.670931 -> 23.715569, 43.322091 -> 24.349647, 49.518865 -> 30.13805, 44.948555 -> 18.305811, 52.308017 -> 24.768385, 44.464639 -> 23.004131, 38.318225 -> 19.090081, 38.451086 -> 20.407142, 38.943817 -> 22.511565, 50.283384 -> 19.10182, 44.019235 -> 24.629947, 37.706682 -> 28.885704, 47.72961 -> 26.109791, 41.593014 -> 26.287121, 49.280142 -> 28.403921, 37.735017 -> 23.61764, 36.732867 -> 17.630806, 42.097076 -> 24.421568, 40.877922 -> 30.456584, 51.064262 -> 29.819206, 39.191241 -> 22.362641, 36.14382 -> 29.803799, 36.968654 -> 24.71564, 40.13127 -> 26.618869, 42.568987 -> 28.270443, 39.094664 -> 29.307128, 42.724003 -> 22.27439, 48.073164 -> 28.836048, 46.747161 -> 21.444213, 46.418534",164.0,35514,105271,559950,114526
H-2000153,3,121,13,13,355,"Oct. 29, 2000 - 00:33:48","Nov. 3, 2000 - 05:46:10","Nov. 4, 2000 - 00:46:10","-0.55322, 22.125668 -> -7.878509, 14.64856 -> 1.980845, 18.226827 -> -8.936616, 22.143945 -> -8.419929, 21.455634 -> -11.051795, 15.271159 -> -1.780827, 19.714634 -> 2.815892, 26.137072 -> -13.101477, 19.970077 -> -0.105579, 26.018551 -> -8.499037, 23.245637 -> -0.75753, 20.426589 -> -12.739595, 24.175726 -> 1.230619, 17.511349 -> -9.232733, 21.085026 -> -9.798231, 27.568512 -> 0.595869, 15.844697 -> -6.388703, 24.553775 -> -12.384354, 16.968374 -> -9.372493, 25.342668 -> -6.157745, 17.663024 -> -8.410892, 18.542814 -> -7.179897, 26.18646 -> -6.10855, 20.086832 -> 2.371913, 28.36436 -> 2.992571, 22.793501 -> 0.660122, 22.762726 -> -0.285125, 17.596665 -> -10.920629, 19.773105 -> 4.680053, 20.091167 -> -5.401705, 18.25208 -> -10.283464, 15.949076 -> -13.069001, 14.073647 -> 1.157091, 21.119379",169.0,83529,275107,1353709,373831
H-2000154,2,103,8,16,234,"Jul. 10, 1879 - 17:26:48","Jul. 20, 1879 - 16:38:58","Jul. 21, 1879 - 06:38:58","22.359, 74.46978 -> 16.374931, 72.130809 -> 16.859102, 70.818058 -> 16.80318, 86.435127 -> 19.905548, 71.623485 -> 25.43606, 71.949027 -> 22.921037, 72.58732 -> 20.953868, 73.235335 -> 16.303343, 77.556943 -> 19.56913, 72.075389 -> 28.413203, 79.242619 -> 10.070732, 77.082061 -> 11.582868, 75.994572 -> 12.217945, 71.936286 -> 20.14995, 86.641426 -> 30.207669, 82.313459 -> 26.667664, 78.674084 -> 17.527412, 83.120234 -> 29.343784, 76.885549 -> 21.184494, 78.438921 -> 10.670042, 73.663278 -> 10.166036, 86.753257 -> 9.453752, 85.476545 -> 18.862204, 84.764593 -> 12.230992, 77.725712 -> 9.845167, 80.240167 -> 22.760046, 79.743306 -> 15.44813, 82.645812 -> 27.829197, 73.033724 -> 27.388764, 86.449309 -> 13.908055, 73.979934 -> 13.825378, 84.184879 -> 16.991775, 69.126846 -> 20.934528, 87.15581",140.0,35376,0,504234,116792
H-2000155,4,142,26,75,487,"Sep. 30, 1931 - 04:44:27","Oct. 7, 1931 - 02:57:29","Oct. 7, 1931 - 21:57:29","22.31196, 104.646659 -> 32.642205, 117.238724 -> 33.525883, 88.366787 -> 22.967895, 101.272229 -> 34.543212, 117.618126 -> 29.35116, 96.43347 -> 37.866851, 112.278069 -> 26.942151, 117.443129 -> 30.911859, 88.580576 -> 35.283635, 101.723706 -> 38.824169, 106.300413 -> 22.689766, 112.780459 -> 35.559004, 113.793938 -> 29.513898, 117.525491 -> 34.081988, 115.024544 -> 38.544249, 93.166881 -> 24.773673, 104.370275 -> 36.063786, 101.157516 -> 31.957132, 116.422599 -> 22.380468, 118.500941 -> 25.449068, 110.539311 -> 35.358999, 100.293049 -> 36.639768, 99.193838 -> 26.541994, 100.658141 -> 26.766593, 103.352523 -> 34.429562, 110.667232 -> 23.290224, 96.944286 -> 38.629936, 97.02261 -> 36.77197, 93.489641 -> 37.091302, 106.462425 -> 33.144732, 90.990403 -> 35.168117, 111.450475 -> 38.589858, 95.086393 -> 38.148325, 108.817993",172.0,180229,665174,2719139,671698
